,asin,overall,unixReviewTime
0,0528881469,2.8333333333333335,1320451200.0
1,0594451647,4.2,1396327680.0
2,0594481813,4.0,1382788800.0
3,0972683275,4.45662100456621,1354239517.8082192
4,1400501466,3.953488372093023,1352372986.0465117
5,1400501520,4.4,1376261280.0
6,1400501776,4.15,1356626880.0
7,1400532620,3.6097560975609757,1311364448.7804878
8,1400532655,3.8073394495412844,1323475200.0
9,140053271X,3.8309859154929575,1347306997.1830986
10,1400532736,3.230769230769231,1375262030.7692308
11,1400599997,3.902439024390244,1288630712.195122
12,1400698987,4.214285714285714,1388315314.2857144
13,1400699169,4.5,1388383200.0
14,1615527613,4.2,1360368000.0
15,3744295508,4.947368421052632,1335416589.4736843
16,3930992868,5.0,1351444114.2857144
17,3936710058,3.5,1378886400.0
18,6301977173,3.0,1141560000.0
19,7214047977,4.3076923076923075,1377016615.3846154
20,7507825604,4.833333333333333,1373529600.0
21,7799813393,3.5,1355328000.0
22,8862935293,3.6666666666666665,1298865600.0
23,8862936826,3.0,1311638400.0
24,8918010656,4.428571428571429,1396631314.2857144
25,9043413585,3.4285714285714284,1293914057.142857
26,9573212900,4.111111111111111,1318214400.0
27,9573212919,3.8823529411764706,1354538541.1764705
28,9575871979,4.04,1326243456.0
29,9625993428,3.8,1324558902.857143
30,9862510447,3.6666666666666665,1299801600.0
31,9876050621,3.2,1399368960.0
32,9888002198,4.055555555555555,1340457600.0
33,9966338926,3.0,1375930800.0
34,9966541551,4.6,1392975360.0
35,9966569863,4.714285714285714,1392545828.5714285
36,9966694544,4.076923076923077,1389724061.5384614
37,9981739588,4.428571428571429,1309540114.2857144
38,9983891204,4.764705882352941,1360174870.5882354
39,9983891212,4.7023809523809526,1352670171.4285715
40,9984984354,3.6956521739130435,1338482504.347826
41,9984984362,4.4,1353006720.0
42,998498480X,4.666666666666667,1319059200.0
43,9985511476,4.631578947368421,1373250694.7368422
44,B000001OL6,3.7,1269665280.0
45,B000001OM4,4.352941176470588,1298393788.235294
46,B000001OM5,3.814814814814815,1355148800.0
47,B000001OMA,3.5833333333333335,1314604800.0
48,B000001OMI,4.4,1356203520.0
49,B000001OMT,3.857142857142857,1279658057.142857
50,B000001OMZ,4.666666666666667,1362240000.0
51,B000001ON6,4.2926829268292686,1352191609.7560976
52,B000006OQ8,4.6,1323699840.0
53,B00000DM9W,4.607843137254902,1178614588.235294
54,B00000DMA3,4.285714285714286,1125532800.0
55,B00000I9HE,4.125,1361912400.0
56,B00000I9HF,4.8,1364307840.0
57,B00000IGBF,4.222222222222222,1045728000.0
58,B00000J05A,3.4285714285714284,965297828.5714285
59,B00000J060,4.0,1104179657.142857
60,B00000J061,4.535714285714286,1141701942.857143
61,B00000J08C,4.461538461538462,1125944861.5384614
62,B00000J08Q,2.5,1204961400.0
63,B00000J0AR,2.0,1198022400.0
64,B00000J0D2,3.0,1185744960.0
65,B00000J0D5,3.0714285714285716,1179964800.0
66,B00000J0D8,2.8,1130232960.0
67,B00000J0IX,4.0,1019116800.0
68,B00000J1E6,2.142857142857143,1225411200.0
69,B00000J1EJ,2.8333333333333335,1241174400.0
70,B00000J1EP,4.538461538461538,1349820553.8461537
71,B00000J1EQ,4.6571428571428575,1366749257.142857
72,B00000J1F3,4.5,1352462400.0
73,B00000J1GA,3.2222222222222223,1001808000.0
74,B00000J1QK,4.260869565217392,1294223165.2173913
75,B00000J1QR,4.266666666666667,1348318080.0
76,B00000J1SC,4.2405063291139244,1357556172.1518986
77,B00000J1TX,4.738095238095238,1229035885.7142856
78,B00000J1U8,4.619047619047619,1279234285.7142856
79,B00000J1UA,4.333333333333333,1310212800.0
80,B00000J1UB,4.8,1351175040.0
81,B00000J1UQ,4.804347826086956,1357161808.6956522
82,B00000J1UY,5.0,1346388480.0
83,B00000J1V3,4.612903225806452,1252822296.7741935
84,B00000J1V5,4.712643678160919,1360435531.0344827
85,B00000J1V7,4.944444444444445,1326648000.0
86,B00000J1V8,5.0,1263182400.0
87,B00000J3G3,4.0,1211166000.0
88,B00000J3GR,5.0,1332752400.0
89,B00000J3HB,4.6,963187200.0
90,B00000J3II,4.0,1053561600.0
91,B00000J3Q1,4.0,1024364571.4285715
92,B00000J3Q7,4.230769230769231,1221416861.5384614
93,B00000J3SA,4.785714285714286,1038163885.7142857
94,B00000J3UH,4.0,1252491428.5714285
95,B00000J3UJ,3.375,1327071600.0
96,B00000J3WQ,3.5555555555555554,1308768000.0
97,B00000J40X,4.6,1026673920.0
98,B00000J434,4.05,984921120.0
99,B00000J47F,3.8,1300976640.0
100,B00000J4CX,4.0,1073934720.0
101,B00000J4DV,4.75,1333800000.0
102,B00000J4EY,4.782608695652174,1360352973.9130435
103,B00000J4FS,4.433333333333334,992917440.0
104,B00000J4GE,4.25,1354144114.2857144
105,B00000J4L8,4.583333333333333,1006020000.0
106,B00000J4LQ,4.8,1126327680.0
107,B00000J4M9,4.5,1040407200.0
108,B00000J4VK,4.2,1048671360.0
109,B00000J4VL,4.5,1015099200.0
110,B00000J506,3.6,1163652480.0
111,B00000J579,3.7142857142857144,1086739200.0
112,B00000J6WY,3.35,1248138720.0
113,B00000JBAH,4.428571428571429,1033331657.1428572
114,B00000JBAT,3.7142857142857144,954053485.7142857
115,B00000JBHE,4.8,1054788480.0
116,B00000JBHP,4.076923076923077,1363644553.8461537
117,B00000JBIA,1.0,966954240.0
